sample_id	threshold	total_area
030120 P9HuP6 TMA 1-A_Core[1,1,A]_[5908,39095].im3	0.1	1.5601335433769068
030120 P9HuP6 TMA 1-A_Core[1,1,B]_[8067,38968].im3	0.1	1.84809357417302
030120 P9HuP6 TMA 1-A_Core[1,1,C]_[10162,38841].im3	0.1	1.249865395458298
030120 P9HuP6 TMA 1-A_Core[1,1,D]_[12385,38778].im3	0.1	2.3615190266881276
030120 P9HuP6 TMA 1-A_Core[1,1,E]_[14544,38714].im3	0.1	2.0148745602147033
030120 P9HuP6 TMA 1-A_Core[1,1,F]_[16639,38587].im3	0.1	2.1014215796314657
030120 P9HuP6 TMA 1-A_Core[1,1,H]_[20830,38587].im3	0.1	2.0629489470349034
030120 P9HuP6 TMA 1-A_Core[1,2,A]_[5972,41190].im3	0.1	1.6911708480605179
030120 P9HuP6 TMA 1-A_Core[1,2,B]_[8130,41063].im3	0.1	1.878867021986286
030120 P9HuP6 TMA 1-A_Core[1,2,C]_[10289,41000].im3	0.1	1.6003979749708173
030120 P9HuP6 TMA 1-A_Core[1,2,D]_[12385,40936].im3	0.1	2.07132524274935
030120 P9HuP6 TMA 1-A_Core[1,2,E]_[14671,40936].im3	0.1	1.4877677113606467
030120 P9HuP6 TMA 1-A_Core[1,2,F]_[16766,40873].im3	0.1	2.1838195613717515
030120 P9HuP6 TMA 1-A_Core[1,2,G]_[18862,40809].im3	0.1	1.9957876056415504
030120 P9HuP6 TMA 1-A_Core[1,2,H]_[21021,40809].im3	0.1	1.6578840209274937
030120 P9HuP6 TMA 1-A_Core[1,3,A]_[6099,43349].im3	0.1	1.7983240611488638
030120 P9HuP6 TMA 1-A_Core[1,3,C]_[10353,43159].im3	0.1	2.0014423867606133
030120 P9HuP6 TMA 1-A_Core[1,3,D]_[12512,43095].im3	0.1	1.6094110799306858
030120 P9HuP6 TMA 1-A_Core[1,3,E]_[14671,43032].im3	0.1	1.8278149991692012
030120 P9HuP6 TMA 1-A_Core[1,3,F]_[16830,43095].im3	0.1	1.93676154703825
030120 P9HuP6 TMA 1-A_Core[1,3,G]_[18925,43032].im3	0.1	2.059293725303933
030120 P9HuP6 TMA 1-A_Core[1,3,H]_[21148,42968].im3	0.1	2.279053776258931
030120 P9HuP6 TMA 1-A_Core[1,4,A]_[5972,45508].im3	0.1	2.204827900333622
030120 P9HuP6 TMA 1-A_Core[1,4,B]_[8130,45445].im3	0.1	1.9328122672556518
030120 P9HuP6 TMA 1-A_Core[1,4,C]_[10289,45381].im3	0.1	2.299003225669127
030120 P9HuP6 TMA 1-A_Core[1,4,D]_[12575,45318].im3	0.1	2.1775343056100915
030120 P9HuP6 TMA 1-A_Core[1,4,E]_[14734,45318].im3	0.1	1.596875288655438
030120 P9HuP6 TMA 1-A_Core[1,4,F]_[16830,45318].im3	0.1	2.163074465785025
030120 P9HuP6 TMA 1-A_Core[1,4,G]_[19052,45254].im3	0.1	1.5973639953440768
